date,value
2024-07-22,2095.050048828125
2024-07-23,2129.530029296875
2024-07-24,2143.85009765625
2024-07-25,2127.9599609375
2024-07-29,2046.010009765625
2024-07-30,2024.18994140625
2024-07-31,2021.3900146484375
2024-08-01,1980.739990234375
2024-08-05,1931.719970703125
2024-08-06,1954.260009765625
2024-08-07,2004.6800537109375
2024-08-08,2028.969970703125
2024-08-12,1992.510009765625
2024-08-14,2027.75
2024-08-15,2059.239990234375
2024-08-19,2066.489990234375
2024-08-20,2065.449951171875
2024-08-21,2049.239990234375
2024-08-22,2048.050048828125
2024-08-26,2098.3701171875
2024-08-27,2090.330078125
2024-08-28,2116.909912109375
2024-08-29,2116.830078125
2024-09-02,2128.639892578125
2024-09-03,2110.1298828125
2024-09-04,2108.489990234375
2024-09-05,2143.139892578125
2024-09-09,2095.070068359375
2024-09-10,2097.889892578125
2024-09-11,2099.199951171875
2024-09-12,2119.2099609375
2024-09-16,2078.2900390625
2024-09-17,2037.6300048828125
2024-09-18,2050.9599609375
2024-09-19,2029.3399658203125
2024-09-23,2050.43994140625
2024-09-24,2091.239990234375
2024-09-25,2106.340087890625
2024-09-26,2146.030029296875
2024-09-30,2173.669921875
2024-10-01,2156.89990234375
2024-10-07,2142.43994140625
2024-10-08,2136.260009765625
2024-10-09,2152.0400390625
2024-10-10,2128.60009765625
2024-10-14,2157.300048828125
2024-10-15,2175.840087890625
2024-10-21,2220.9599609375
2024-10-22,2209.530029296875
2024-10-28,2235.219970703125
2024-10-29,2258.510009765625
2024-10-30,2307.219970703125
2024-10-31,2308.429931640625
2024-11-04,2291.0
2024-11-05,2299.3798828125
2024-11-06,2311.85009765625
2024-11-07,2303.590087890625
2024-11-11,2349.239990234375
2024-11-12,2362.72998046875
2024-11-13,2386.7099609375
2024-11-14,2391.5
2024-11-18,2427.050048828125
2024-11-19,2427.800048828125
2024-11-20,2428.860107421875
2024-11-21,2423.360107421875
2024-11-25,2468.110107421875
2024-11-26,2476.510009765625
2024-11-27,2469.85009765625
2024-11-28,2471.469970703125
2024-12-02,2525.590087890625
2024-12-03,2562.070068359375
2024-12-04,2567.18994140625
2024-12-05,2565.3798828125
2024-12-09,2619.139892578125
2024-12-10,2615.919921875
2024-12-11,2604.81005859375
2024-12-12,2589.719970703125
2024-12-16,2600.280029296875
2024-12-17,2611.860107421875
2024-12-18,2618.199951171875
2024-12-19,2582.56005859375
2024-12-23,2597.139892578125
2024-12-24,2599.0
2024-12-25,2582.3798828125
2024-12-26,2561.43994140625
2024-12-30,2548.2900390625
2024-12-31,2604.85009765625
2025-01-02,2640.43994140625
2025-01-06,2706.860107421875
2025-01-07,2698.969970703125
2025-01-08,2671.090087890625
2025-01-09,2671.919921875
2025-01-13,2670.22998046875
2025-01-14,2714.429931640625
2025-01-15,2758.159912109375
2025-01-16,2760.8798828125
2025-01-20,2789.1298828125
2025-01-21,2784.889892578125
2025-01-22,2754.25
2025-01-23,2742.419921875
2025-01-27,2684.219970703125
2025-01-28,2684.89990234375
2025-01-29,2719.300048828125
2025-01-30,2719.610107421875
2025-02-03,2719.8798828125
2025-02-04,2783.179931640625
2025-02-05,2847.360107421875
2025-02-06,2828.739990234375
2025-02-10,2867.35009765625
2025-02-11,2858.969970703125
2025-02-12,2815.679931640625
2025-02-13,2859.02001953125
2025-02-17,2868.969970703125
2025-02-18,2899.949951171875
2025-02-19,2889.97998046875
2025-02-20,2871.030029296875
2025-02-24,2823.320068359375
2025-02-25,2804.830078125
2025-02-26,2813.679931640625
2025-02-27,2820.27001953125
2025-03-03,2826.070068359375
2025-03-04,2749.860107421875
2025-03-05,2762.919921875
2025-03-06,2739.110107421875
2025-03-10,2739.06005859375
2025-03-11,2743.10009765625
2025-03-12,2802.909912109375
2025-03-13,2799.60009765625
2025-03-17,2830.050048828125
2025-03-18,2761.889892578125
2025-03-19,2706.139892578125
2025-03-20,2679.679931640625
2025-03-24,2597.030029296875
2025-03-25,2623.550048828125
2025-03-26,2587.2900390625
2025-03-27,2631.02001953125
2025-03-31,2583.340087890625
2025-04-01,2620.590087890625
2025-04-02,2667.7099609375
2025-04-03,2630.669921875
2025-04-07,2557.0400390625
2025-04-08,2604.389892578125
2025-04-09,2555.409912109375
2025-04-10,2622.60009765625
2025-04-14,2689.800048828125
2025-04-15,2712.760009765625
2025-04-16,2708.1201171875
2025-04-17,2726.93994140625
2025-04-21,2668.969970703125
2025-04-22,2690.260009765625
2025-04-23,2747.820068359375
2025-04-24,2741.35009765625
2025-04-28,2719.47998046875
2025-04-29,2719.75
2025-05-05,2748.60009765625
2025-05-06,2746.530029296875
2025-05-07,2792.2900390625
2025-05-08,2828.080078125
2025-05-12,2805.159912109375
2025-05-13,2824.179931640625
2025-05-14,2879.68994140625
2025-05-15,2884.929931640625
2025-05-19,2898.429931640625
2025-05-20,2869.489990234375
2025-05-21,2824.489990234375
2025-05-22,2778.9599609375
2025-05-26,2857.25
2025-05-27,2849.699951171875
2025-05-28,2868.699951171875
2025-05-29,2850.72998046875
2025-06-03,2837.89990234375
2025-06-04,2837.6201171875
2025-06-05,2862.260009765625
2025-06-09,2849.27001953125
2025-06-10,2826.27001953125
2025-06-11,2858.360107421875
2025-06-12,2792.52001953125
2025-06-16,2794.510009765625
2025-06-17,2937.8701171875
2025-06-18,2995.590087890625
2025-06-19,3016.81005859375
2025-06-23,3047.52001953125
2025-06-24,3107.550048828125
2025-06-25,3154.489990234375
2025-06-26,3142.39990234375
2025-06-30,3262.22998046875
2025-07-01,3309.360107421875
2025-07-02,3355.320068359375
