date,value
2026-04-09,6824.66015625
2026-04-10,6816.89013671875
2026-04-13,6886.240234375
2026-04-14,6967.3798828125
2026-04-15,7022.9501953125
2026-04-16,7041.27978515625
2026-04-17,7126.06005859375
2026-04-20,7109.14013671875
2026-04-21,7064.009765625
2026-04-22,7137.89990234375
2026-04-23,7108.39990234375
2026-04-24,7165.080078125
2026-04-27,7173.91015625
2026-04-28,7138.7998046875
2026-04-29,7135.9501953125
2026-04-30,7209.009765625
2026-05-01,7230.1201171875
2026-05-04,7200.75
2026-05-05,7259.22021484375
2026-05-06,7365.1201171875
2026-05-07,7337.10986328125
2026-05-08,7398.93017578125
2026-05-11,7412.83984375
2026-05-12,7400.9599609375
2026-05-13,7444.25
2026-05-14,7501.240234375
2026-05-15,7408.5
2026-05-18,7403.0498046875
2026-05-19,7353.60986328125
2026-05-20,7432.97021484375
2026-05-21,7445.72021484375
2026-05-22,7473.47021484375
2026-05-26,7519.1201171875
2026-05-27,7520.35986328125
2026-05-28,7563.6298828125
2026-05-29,7580.06005859375
2026-06-01,7599.9599609375
2026-06-02,7609.77978515625
2026-06-03,7553.68017578125
2026-06-04,7584.31005859375
2026-06-05,7383.740234375
2026-06-08,7405.72998046875
2026-06-09,7386.64990234375
2026-06-10,7266.990234375
2026-06-11,7394.2998046875
2026-06-12,7431.4599609375
2026-06-15,7554.2900390625
2026-06-16,7511.35009765625
2026-06-17,7420.10009765625
2026-06-18,7500.580078125
2026-06-22,7472.7900390625
2026-06-23,7365.4599609375
2026-06-24,7358.22021484375
2026-06-25,7357.490234375
2026-06-26,7354.02001953125
2026-06-29,7440.43017578125
2026-06-30,7499.35986328125
2026-07-01,7483.22998046875
2026-07-02,7483.240234375
2026-07-06,7537.43017578125
2026-07-07,7503.85009765625
2026-07-08,7482.7099609375
