date,value
2023-01,3.350795958
2023-02,3.5605174542
2023-03,3.8648895717
2023-04,3.8869670516
2023-05,3.8182394499
2023-06,3.7740871555
2023-07,3.7924290428
2023-08,3.9402175936
2023-09,4.0233336965
2023-10,4.4838898337
2023-11,4.4017421905
2023-12,4.069783275
2024-01,4.3340284991
2024-02,4.3640817348
2024-03,4.3783653148
2024-04,4.7027384716
2024-05,4.7943029508
2024-06,4.9173776037
2024-07,4.8839162998
2024-08,4.7634640935
2024-09,4.9372072795
2024-10,4.9487884807
2024-11,4.7345797497
2024-12,4.4911882579
2025-01,4.4987908846
2025-02,4.3234698143
2025-03,4.4171472493
2025-04,4.4104064659
2025-05,4.4613528182
2025-06,4.4665174304
2025-07,4.2198492929
2025-08,4.2188456808
2025-09,4.1904560761
2025-10,3.9708568186
2025-11,3.9655829325
2025-12,4.0401594937
2026-01,3.8836890601
2026-02,3.8331395054
2026-03,3.9989379753
2026-04,4.0269510858
2026-05,3.9497030719
2026-06,3.7659947475
